Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value
CENSUS,2017,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"36,281,409"
CENSUS,2017,YEAR,,STATE,ALABAMA,1,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"7,034"
CENSUS,2017,YEAR,,STATE,ARIZONA,4,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"2,700"
CENSUS,2017,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"6,250,853"
CENSUS,2017,YEAR,,STATE,CONNECTICUT,9,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"21,050"
CENSUS,2017,YEAR,,STATE,GEORGIA,13,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"293,876"
CENSUS,2017,YEAR,,STATE,HAWAII,15,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"49,650"
CENSUS,2017,YEAR,,STATE,INDIANA,18,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"12,632"
CENSUS,2017,YEAR,,STATE,IOWA,19,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"8,664"
CENSUS,2017,YEAR,,STATE,KENTUCKY,21,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"44,720"
CENSUS,2017,YEAR,,STATE,LOUISIANA,22,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"14,190"
CENSUS,2017,YEAR,,STATE,MAINE,23,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"19,875"
CENSUS,2017,YEAR,,STATE,MASSACHUSETTS,25,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"33,759"
CENSUS,2017,YEAR,,STATE,MICHIGAN,26,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"115,541"
CENSUS,2017,YEAR,,STATE,MINNESOTA,27,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"11,145"
CENSUS,2017,YEAR,,STATE,MISSOURI,29,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"110,243"
CENSUS,2017,YEAR,,STATE,NEW HAMPSHIRE,33,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"6,900"
CENSUS,2017,YEAR,,STATE,NEW JERSEY,34,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"298,525"
CENSUS,2017,YEAR,,STATE,NEW MEXICO,35,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"3,250"
CENSUS,2017,YEAR,,STATE,NEW YORK,36,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"101,919"
CENSUS,2017,YEAR,,STATE,NORTH CAROLINA,37,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"143,959"
CENSUS,2017,YEAR,,STATE,OHIO,39,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"32,915"
CENSUS,2017,YEAR,,STATE,OREGON,41,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"432,434"
CENSUS,2017,YEAR,,STATE,PENNSYLVANIA,42,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"17,314,135"
CENSUS,2017,YEAR,,STATE,SOUTH CAROLINA,45,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"136,229"
CENSUS,2017,YEAR,,STATE,UTAH,49,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"369,400"
CENSUS,2017,YEAR,,STATE,VERMONT,50,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"9,960"
CENSUS,2017,YEAR,,STATE,VIRGINIA,51,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"36,868"
CENSUS,2017,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"420,756"
CENSUS,2017,YEAR,,STATE,WEST VIRGINIA,54,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"10,129"
CENSUS,2017,YEAR,,STATE,WISCONSIN,55,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"108,495"
CENSUS,2012,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"37,416,059"
CENSUS,2012,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"6,179,983"
CENSUS,2012,YEAR,,STATE,CONNECTICUT,9,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"10,800"
CENSUS,2012,YEAR,,STATE,DELAWARE,10,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"157,800"
CENSUS,2012,YEAR,,STATE,GEORGIA,13,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"40,278"
CENSUS,2012,YEAR,,STATE,IOWA,19,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"12,210"
CENSUS,2012,YEAR,,STATE,KENTUCKY,21,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"29,070"
CENSUS,2012,YEAR,,STATE,LOUISIANA,22,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"82,550"
CENSUS,2012,YEAR,,STATE,MAINE,23,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"150,918"
CENSUS,2012,YEAR,,STATE,MASSACHUSETTS,25,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"416,106"
CENSUS,2012,YEAR,,STATE,MICHIGAN,26,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"10,954"
CENSUS,2012,YEAR,,STATE,MINNESOTA,27,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"5,193"
CENSUS,2012,YEAR,,STATE,MISSOURI,29,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"30,586"
CENSUS,2012,YEAR,,STATE,NEW HAMPSHIRE,33,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"11,252"
CENSUS,2012,YEAR,,STATE,NEW JERSEY,34,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"1,206"
CENSUS,2012,YEAR,,STATE,NEW YORK,36,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"1,199,865"
CENSUS,2012,YEAR,,STATE,NORTH CAROLINA,37,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"326,213"
CENSUS,2012,YEAR,,STATE,OHIO,39,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"24,430"
CENSUS,2012,YEAR,,STATE,OREGON,41,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"776,315"
CENSUS,2012,YEAR,,STATE,PENNSYLVANIA,42,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"15,421,562"
CENSUS,2012,YEAR,,STATE,RHODE ISLAND,44,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"1,546"
CENSUS,2012,YEAR,,STATE,SOUTH CAROLINA,45,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"21,696"
CENSUS,2012,YEAR,,STATE,VERMONT,50,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"6,348"
CENSUS,2012,YEAR,,STATE,VIRGINIA,51,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"26,569"
CENSUS,2012,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"414,982"
CENSUS,2012,YEAR,,STATE,WEST VIRGINIA,54,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"12,185"
CENSUS,2012,YEAR,,STATE,WISCONSIN,55,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"114,600"
CENSUS,2007,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"45,308,740"
CENSUS,2007,YEAR,,STATE,ARKANSAS,5,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"59,420"
CENSUS,2007,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"5,483,804"
CENSUS,2007,YEAR,,STATE,MISSOURI,29,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"10,482"
CENSUS,2007,YEAR,,STATE,NEW MEXICO,35,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"1,800"
CENSUS,2007,YEAR,,STATE,NEW YORK,36,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"69,517"
CENSUS,2007,YEAR,,STATE,NORTH CAROLINA,37,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"2,121"
CENSUS,2007,YEAR,,STATE,OHIO,39,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"19,034"
CENSUS,2007,YEAR,,STATE,OREGON,41,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"427,516"
CENSUS,2007,YEAR,,STATE,PENNSYLVANIA,42,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"18,990,506"
CENSUS,2007,YEAR,,STATE,RHODE ISLAND,44,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"3,060"
CENSUS,2007,YEAR,,STATE,SOUTH CAROLINA,45,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"1,337"
CENSUS,2007,YEAR,,STATE,VERMONT,50,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"10,585"
CENSUS,2007,YEAR,,STATE,VIRGINIA,51,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"27,125"
CENSUS,2007,YEAR,,STATE,WEST VIRGINIA,54,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"2,690"
CENSUS,2007,YEAR,,STATE,WISCONSIN,55,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"89,636"
CENSUS,2002,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"48,339,412"
CENSUS,2002,YEAR,,STATE,ARKANSAS,5,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"240,042"
CENSUS,2002,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"9,250,637"
CENSUS,2002,YEAR,,STATE,KENTUCKY,21,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"61,446"
CENSUS,2002,YEAR,,STATE,MINNESOTA,27,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"121,542"
CENSUS,2002,YEAR,,STATE,MISSOURI,29,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"149,172"
CENSUS,2002,YEAR,,STATE,NEW JERSEY,34,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"133,560"
CENSUS,2002,YEAR,,STATE,NEW MEXICO,35,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,740
CENSUS,2002,YEAR,,STATE,NEW YORK,36,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"332,086"
CENSUS,2002,YEAR,,STATE,NORTH CAROLINA,37,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"98,179"
CENSUS,2002,YEAR,,STATE,OHIO,39,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"23,179"
CENSUS,2002,YEAR,,STATE,OREGON,41,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"1,050,054"
CENSUS,2002,YEAR,,STATE,PENNSYLVANIA,42,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"18,966,736"
CENSUS,2002,YEAR,,STATE,SOUTH CAROLINA,45,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"113,456"
CENSUS,2002,YEAR,,STATE,VIRGINIA,51,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"61,790"
CENSUS,2002,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"416,945"
CENSUS,2002,YEAR,,STATE,WEST VIRGINIA,54,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"87,024"
CENSUS,2002,YEAR,,STATE,WISCONSIN,55,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"154,286"
CENSUS,1997,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"64,862,444"
CENSUS,1997,YEAR,,STATE,ARKANSAS,5,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"46,299"
CENSUS,1997,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"10,057,073"
CENSUS,1997,YEAR,,STATE,DELAWARE,10,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"293,300"
CENSUS,1997,YEAR,,STATE,ILLINOIS,17,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"8,009,794"
CENSUS,1997,YEAR,,STATE,LOUISIANA,22,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"5,422"
CENSUS,1997,YEAR,,STATE,MAINE,23,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"7,560"
CENSUS,1997,YEAR,,STATE,MARYLAND,24,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"196,827"
CENSUS,1997,YEAR,,STATE,NEW YORK,36,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"299,208"
CENSUS,1997,YEAR,,STATE,NORTH CAROLINA,37,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"8,085"
CENSUS,1997,YEAR,,STATE,OREGON,41,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"4,274,119"
CENSUS,1997,YEAR,,STATE,PENNSYLVANIA,42,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"28,056,051"
CENSUS,1997,YEAR,,STATE,TEXAS,48,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"1,269,337"
CENSUS,1997,YEAR,,STATE,WISCONSIN,55,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"328,177"
